_debug,_prepare,_run,acc,accuracy,allowed_responses,auto_log,average_response_time,avg_rt,background,blocknr,canvas_backend,cols,column_order,compensation,coordinates,correct,correct_keyboard_response,correct_response,count_README,count_animation,count_block_loop,count_block_sequence,count_end_of_experiment,count_end_of_practice,count_experiment,count_experimental_loop_even,count_experimental_loop_odd,count_fixation_dot,count_form_base_settings,count_get_consent,count_green_fix,count_init,count_instructions,count_instructions2,count_instructions3,count_instructions4,count_instructions_sequence,count_keyboard_response,count_logger,count_practice_loop,count_red_fix,count_reset_feedback,count_set_blocknr,count_trial_sequence,cueDur,cuePresent,cue_dur,cue_offset,cue_onset,cycles,description,duration,flush,flush_keyboard,font_bold,font_family,font_italic,font_size,foreground,height,ignore_missing,item,keyboard_backend,mouse_backend,nSteps,note,offset,order,penwidth,postRotDelay,post_rot_delay,practice,pre_rot_delay,repeat,repeat_cycle,reset_variables,response,response_debug,response_end_of_experiment,response_end_of_practice,response_feedback,response_fixation_dot,response_green_fix,response_instructions,response_instructions2,response_instructions3,response_instructions4,response_keyboard_response,response_time,response_time_debug,response_time_end_of_experiment,response_time_end_of_practice,response_time_feedback,response_time_fixation_dot,response_time_green_fix,response_time_instructions,response_time_instructions2,response_time_instructions3,response_time_instructions4,response_time_keyboard_response,rot_offset,rot_onset,rows,sampler_backend,skip,soa,spacing,start,start_response_interval,style,subject_nr,subject_parity,synth_backend,targetDur,targetRot,target_dur,target_offset,target_onset,time_README,time_animation,time_block_loop,time_block_sequence,time_experiment,time_experimental_loop_even,time_experimental_loop_odd,time_form_base_settings,time_get_consent,time_init,time_instructions_sequence,time_logger,time_practice_loop,time_red_fix,time_reset_feedback,time_set_blocknr,time_trial_sequence,timeout,title,total_blocks,transparent_variables,unicode,use_quotes,width,x,y
"no","NA","NA","0","0","NA","yes","921.183163688","921.183163688","gray","1","psycho","NA","NA","0","relative","0","0","slash","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","1","58.317643324","17624.3303483","17566.012705","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","white","768","yes","NA","psycho","psycho","10","NA","NA","[('yes', 'no'), ('no', 'yes'), ('yes', 'yes')]","NA","0","None","yes","None","NA","0","NA","z","NA","NA","NA","NA","NA","NA","z","slash","space","space","z","921.183163688","NA","NA","NA","NA","NA","NA","761.379100892","2288.67643023","971.611425153","531.570687915","921.183163688","17682.6695253","17682.6681599","NA","legacy","NA","124.984060925","NA","experiment","None","NA","4","even","legacy","45","2","50.0163724887","17741.0131384","17690.9967659","NA","NA","NA","NA","NA","NA","NA","3802.81473474","NA","NA","NA","NA","NA","18624.3590242","NA","NA","NA","NA","0035F Rotating cross (IOR)","11","no","no","yes","1024","NA","NA"
"no","NA","NA","0","0","NA","yes","1985.93499492","1985.93499492","gray","1","psycho","NA","NA","0","relative","0","0","z","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","1","0","0","1","45","1","58.3244192186","20304.3820516","20246.0576324","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","white","768","yes","NA","psycho","psycho","10","NA","NA","[('yes', 'no'), ('no', 'yes'), ('yes', 'yes')]","NA","0","None","yes","None","NA","0","NA","None","NA","NA","NA","NA","NA","NA","z","slash","space","space","None","3050.68682615","NA","NA","NA","NA","NA","NA","761.379100892","2288.67643023","971.611425153","531.570687915","3050.68682615","20362.7177038","20362.7161369","NA","legacy","NA","125.002966062","NA","experiment","None","NA","4","even","legacy","45","0","49.9898042453","20421.0504027","20371.0605984","NA","NA","NA","NA","NA","NA","NA","3802.81473474","NA","NA","NA","NA","NA","23437.7838076","NA","NA","NA","NA","0035F Rotating cross (IOR)","11","no","no","yes","1024","NA","NA"
"no","NA","NA","33.3333333333","33.3333333333","NA","yes","1694.79582492","1694.79582492","gray","1","psycho","NA","NA","0","relative","1","1","z","0","2","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","2","2","0","2","0","0","2","45","1","58.346428094","25180.8263236","25122.4798955","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","white","768","yes","NA","psycho","psycho","10","NA","NA","[('yes', 'no'), ('no', 'yes'), ('yes', 'yes')]","NA","0","None","yes","None","NA","0","NA","z","NA","NA","NA","NA","NA","NA","z","slash","space","space","z","1112.51748493","NA","NA","NA","NA","NA","NA","761.379100892","2288.67643023","971.611425153","531.570687915","1112.51748493","25239.1504511","25239.1489233","NA","legacy","NA","125.005835216","NA","experiment","None","NA","4","even","legacy","45","3","50.0027455121","25297.4884763","25247.4857308","NA","NA","NA","NA","NA","NA","NA","3802.81473474","NA","NA","NA","NA","NA","23437.7838076","NA","NA","NA","NA","0035F Rotating cross (IOR)","11","no","no","yes","1024","NA","NA"
"no","NA","NA","25","25","NA","yes","1538.74305736","1538.74305736","gray","1","psycho","NA","NA","0","relative","0","0","z","0","3","0","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0","0","3","3","0","3","0","0","3","45","1","58.3390627297","28064.1756817","28005.836619","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","white","768","yes","NA","psycho","psycho","10","NA","NA","[('yes', 'no'), ('no', 'yes'), ('yes', 'yes')]","NA","0","None","yes","None","NA","0","NA","slash","NA","NA","NA","NA","NA","NA","z","slash","space","space","slash","1070.58475465","NA","NA","NA","NA","NA","NA","761.379100892","2288.67643023","971.611425153","531.570687915","1070.58475465","28122.5086362","28122.5070903","NA","legacy","NA","125.009928422","NA","experiment","None","NA","4","even","legacy","45","3","49.9855516421","28180.832099","28130.8465474","NA","NA","NA","NA","NA","NA","NA","3802.81473474","NA","NA","NA","NA","NA","29214.2045821","NA","NA","NA","NA","0035F Rotating cross (IOR)","11","no","no","yes","1024","NA","NA"
"no","NA","NA","40","40","NA","yes","1401.54808736","1401.54808736","gray","1","psycho","NA","NA","0","relative","1","1","slash","0","4","0","0","0","0","0","0","0","4","0","0","4","0","0","0","0","0","0","4","4","0","4","0","0","4","45","1","58.3138268082","30740.2434567","30681.9296299","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","white","768","yes","NA","psycho","psycho","10","NA","NA","[('yes', 'no'), ('no', 'yes'), ('yes', 'yes')]","NA","0","None","yes","None","NA","0","NA","slash","NA","NA","NA","NA","NA","NA","z","slash","space","space","slash","852.768207397","NA","NA","NA","NA","NA","NA","761.379100892","2288.67643023","971.611425153","531.570687915","852.768207397","30798.578763","30798.5774397","NA","legacy","NA","125.016060711","NA","experiment","None","NA","4","even","legacy","45","1","49.9746043468","30856.9202949","30806.9456906","NA","NA","NA","NA","NA","NA","NA","3802.81473474","NA","NA","NA","NA","NA","29214.2045821","NA","NA","NA","NA","0035F Rotating cross (IOR)","11","no","no","yes","1024","NA","NA"
"no","NA","NA","33.3333333333","33.3333333333","NA","yes","1311.28944719","1311.28944719","gray","1","psycho","NA","NA","0","relative","0","0","slash","0","5","0","0","0","0","0","0","0","5","0","0","5","0","0","0","0","0","0","5","5","0","5","0","0","5","45","1","58.3308582733","33419.3832382","33361.0523799","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","white","768","yes","NA","psycho","psycho","10","NA","NA","[('yes', 'no'), ('no', 'yes'), ('yes', 'yes')]","NA","0","None","yes","None","NA","0","NA","z","NA","NA","NA","NA","NA","NA","z","slash","space","space","z","859.996246307","NA","NA","NA","NA","NA","NA","761.379100892","2288.67643023","971.611425153","531.570687915","859.996246307","33477.716316","33477.7149416","NA","legacy","NA","124.992716506","NA","experiment","None","NA","4","even","legacy","45","3","49.9969109647","33536.0420074","33486.0450964","NA","NA","NA","NA","NA","NA","NA","3802.81473474","NA","NA","NA","NA","NA","34361.0589717","NA","NA","NA","NA","0035F Rotating cross (IOR)","11","no","no","yes","1024","NA","NA"
"no","NA","NA","28.5714285714","28.5714285714","NA","yes","1255.75149263","1255.75149263","gray","1","psycho","NA","NA","0","relative","0","0","slash","0","6","0","0","0","0","0","0","0","6","0","0","6","0","0","0","0","0","0","6","6","0","6","0","0","6","45","1","58.3134568858","36127.261372","36068.9479151","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","white","768","yes","NA","psycho","psycho","10","NA","NA","[('yes', 'no'), ('no', 'yes'), ('yes', 'yes')]","NA","0","None","yes","None","NA","0","NA","z","NA","NA","NA","NA","NA","NA","z","slash","space","space","z","922.523765255","NA","NA","NA","NA","NA","NA","761.379100892","2288.67643023","971.611425153","531.570687915","922.523765255","36185.6000859","36185.5987145","NA","legacy","NA","124.986638352","NA","experiment","None","NA","4","even","legacy","45","3","50.0020718324","36243.9366253","36193.9345535","NA","NA","NA","NA","NA","NA","NA","3802.81473474","NA","NA","NA","NA","NA","37127.2964899","NA","NA","NA","NA","0035F Rotating cross (IOR)","11","no","no","yes","1024","NA","NA"
"no","NA","NA","25","25","NA","yes","1291.9569289","1291.9569289","gray","1","psycho","NA","NA","0","relative","0","0","z","0","7","0","0","0","0","0","0","0","7","0","0","7","0","0","0","0","0","0","7","7","0","7","0","0","7","45","1","58.3301665486","38884.9550556","38826.6248891","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","white","768","yes","NA","psycho","psycho","10","NA","NA","[('yes', 'no'), ('no', 'yes'), ('yes', 'yes')]","NA","0","None","yes","None","NA","0","NA","slash","NA","NA","NA","NA","NA","NA","z","slash","space","space","slash","1545.39498282","NA","NA","NA","NA","NA","NA","761.379100892","2288.67643023","971.611425153","531.570687915","1545.39498282","38943.2864703","38943.2850417","NA","legacy","NA","124.997736022","NA","experiment","None","NA","4","even","legacy","45","0","49.9889862056","39001.6116113","38951.6226251","NA","NA","NA","NA","NA","NA","NA","3802.81473474","NA","NA","NA","NA","NA","40510.0036986","NA","NA","NA","NA","0035F Rotating cross (IOR)","11","no","no","yes","1024","NA","NA"
"no","NA","NA","22.2222222222","22.2222222222","NA","yes","1313.76707223","1313.76707223","gray","1","psycho","NA","NA","0","relative","0","0","slash","0","8","0","0","0","0","0","0","0","8","0","0","8","0","0","0","0","0","0","8","8","0","8","0","0","8","45","1","58.3428070656","42236.5496962","42178.2068892","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","white","768","yes","NA","psycho","psycho","10","NA","NA","[('yes', 'no'), ('no', 'yes'), ('yes', 'yes')]","NA","0","None","yes","None","NA","0","NA","z","NA","NA","NA","NA","NA","NA","z","slash","space","space","z","1488.24821889","NA","NA","NA","NA","NA","NA","761.379100892","2288.67643023","971.611425153","531.570687915","1488.24821889","42294.8883439","42294.886762","NA","legacy","NA","125.00804272","NA","experiment","None","NA","4","even","legacy","45","0","49.9922583642","42353.2071903","42303.2149319","NA","NA","NA","NA","NA","NA","NA","3802.81473474","NA","NA","NA","NA","NA","43803.2399954","NA","NA","NA","NA","0035F Rotating cross (IOR)","11","no","no","yes","1024","NA","NA"
"no","NA","NA","20","20","NA","yes","1264.53123949","1264.53123949","gray","1","psycho","NA","NA","0","relative","0","0","slash","0","9","0","0","0","0","0","0","0","9","0","0","9","0","0","0","0","0","0","9","9","0","9","0","0","9","45","1","58.3173215217","45441.691427","45383.3741054","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","white","768","yes","NA","psycho","psycho","10","NA","NA","[('yes', 'no'), ('no', 'yes'), ('yes', 'yes')]","NA","0","None","yes","None","NA","0","NA","z","NA","NA","NA","NA","NA","NA","z","slash","space","space","z","821.408744804","NA","NA","NA","NA","NA","NA","761.379100892","2288.67643023","971.611425153","531.570687915","821.408744804","45500.0233168","45500.0219273","NA","legacy","NA","124.99107742","NA","experiment","None","NA","4","even","legacy","45","1","49.9781201128","45558.343303","45508.3651829","NA","NA","NA","NA","NA","NA","NA","3802.81473474","NA","NA","NA","NA","NA","46341.7176674","NA","NA","NA","NA","0035F Rotating cross (IOR)","11","no","no","yes","1024","NA","NA"
