_debug,_prepare,_run,acc,accuracy,allowed_responses,auto_log,average_response_time,avg_rt,background,blocknr,canvas_backend,cols,column_order,compensation,coordinates,correct,correct_keyboard_response,correct_response,count_README,count_animation,count_block_loop,count_block_sequence,count_debug,count_end_of_experiment,count_end_of_practice,count_experiment,count_experimental_loop_even,count_experimental_loop_odd,count_feedback,count_fixation_dot,count_form_base_settings,count_get_consent,count_green_fix,count_init,count_instructions,count_instructions2,count_instructions3,count_instructions4,count_instructions_sequence,count_keyboard_response,count_logger,count_practice_loop,count_red_fix,count_reset_feedback,count_set_blocknr,count_trial_sequence,cueDur,cuePresent,cue_dur,cue_offset,cue_onset,cycles,description,duration,flush,flush_keyboard,font_bold,font_family,font_italic,font_size,foreground,height,ignore_missing,item,keyboard_backend,mouse_backend,nSteps,note,offset,order,penwidth,postRotDelay,post_rot_delay,practice,pre_rot_delay,repeat,repeat_cycle,reset_variables,response,response_debug,response_end_of_experiment,response_end_of_practice,response_feedback,response_fixation_dot,response_green_fix,response_instructions,response_instructions2,response_instructions3,response_instructions4,response_keyboard_response,response_time,response_time_debug,response_time_end_of_experiment,response_time_end_of_practice,response_time_feedback,response_time_fixation_dot,response_time_green_fix,response_time_instructions,response_time_instructions2,response_time_instructions3,response_time_instructions4,response_time_keyboard_response,rot_offset,rot_onset,rows,sampler_backend,skip,soa,spacing,start,start_response_interval,style,subject_nr,subject_parity,synth_backend,targetDur,targetRot,target_dur,target_offset,target_onset,time_README,time_animation,time_block_loop,time_block_sequence,time_debug,time_end_of_experiment,time_end_of_practice,time_experiment,time_experimental_loop_even,time_experimental_loop_odd,time_feedback,time_fixation_dot,time_form_base_settings,time_get_consent,time_green_fix,time_init,time_instructions,time_instructions2,time_instructions3,time_instructions4,time_instructions_sequence,time_keyboard_response,time_logger,time_practice_loop,time_red_fix,time_reset_feedback,time_set_blocknr,time_trial_sequence,timeout,title,total_blocks,transparent_variables,unicode,use_quotes,width,x,y
"no","NA","NA","0","0","NA","yes","3050.32092068","3050.32092068","gray","1","psycho","NA","NA","0","relative","0","0","slash","0","0","0","0","NA","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","1","58.3420518542","167963.46016","167905.118109","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","white","768","yes","NA","psycho","psycho","10","NA","NA","[('yes', 'yes'), ('yes', 'no'), ('no', 'yes')]","NA","0","None","yes","None","NA","0","NA","None","NA","NA","NA","NA","NA","NA","z","slash","space","space","None","3050.32092068","NA","NA","NA","NA","NA","NA","34785.2073378","104831.482214","4218.68896745","5105.22314987","3050.32092068","168021.791596","168021.787127","NA","legacy","NA","125.011139684","NA","experiment","None","NA","2","even","legacy","45","3","49.9912698415","168080.120518","168030.129248","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","165971.723781","4042.19391012","NA","NA","NA","16833.6067852","51643.3580246","156488.126564","160721.574949","NA","168080.352671","NA","NA","171088.553433","NA","NA","NA","NA","0035F Rotating cross (IOR)","11","no","no","yes","1024","NA","NA"
"no","NA","NA","50","50","NA","yes","2010.91535377","2010.91535377","gray","1","psycho","NA","NA","0","relative","1","1","slash","0","1","0","0","NA","0","0","0","0","0","NA","1","0","0","1","0","0","0","0","0","0","1","1","0","1","0","0","1","45","1","58.3118804207","174588.641014","174530.329134","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","white","768","yes","NA","psycho","psycho","10","NA","NA","[('yes', 'yes'), ('yes', 'no'), ('no', 'yes')]","NA","0","None","yes","None","NA","0","NA","slash","NA","NA","NA","NA","NA","NA","z","slash","space","space","slash","971.509786858","NA","NA","NA","NA","NA","NA","34785.2073378","104831.482214","4218.68896745","5105.22314987","971.509786858","174646.983066","174646.978317","NA","legacy","NA","124.98906984","NA","experiment","None","NA","2","even","legacy","45","3","49.9848444415","174705.303048","174655.318204","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","172246.9244","4042.19391012","NA","175630.347712","NA","16833.6067852","51643.3580246","156488.126564","160721.574949","NA","174705.541626","NA","NA","171088.553433","NA","NA","NA","NA","0035F Rotating cross (IOR)","11","no","no","yes","1024","NA","NA"
"no","NA","NA","66.6666666667","66.6666666667","NA","yes","1753.07317923","1753.07317923","gray","1","psycho","NA","NA","0","relative","1","1","slash","0","2","0","0","NA","0","0","0","0","0","NA","2","0","0","2","0","0","0","0","0","0","2","2","0","2","0","0","2","45","1","58.3448455036","178138.758976","178080.414131","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","white","768","yes","NA","psycho","psycho","10","NA","NA","[('yes', 'yes'), ('yes', 'no'), ('no', 'yes')]","NA","0","None","yes","None","NA","0","NA","slash","NA","NA","NA","NA","NA","NA","z","slash","space","space","slash","1237.38883014","NA","NA","NA","NA","NA","NA","34785.2073378","104831.482214","4218.68896745","5105.22314987","1237.38883014","178197.089854","178197.085104","NA","legacy","NA","125.016168256","NA","experiment","None","NA","2","even","legacy","45","3","49.9929460311","178255.423245","178205.430299","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","176330.374671","4042.19391012","NA","179447.129454","NA","16833.6067852","51643.3580246","156488.126564","160721.574949","NA","178255.666572","NA","NA","171088.553433","NA","NA","NA","NA","0035F Rotating cross (IOR)","11","no","no","yes","1024","NA","NA"
"no","NA","NA","75","75","NA","yes","1555.79263566","1555.79263566","gray","1","psycho","NA","NA","0","relative","1","1","z","0","3","0","0","NA","0","0","0","0","0","NA","3","0","0","3","0","0","0","0","0","0","3","3","0","3","0","0","3","45","1","58.3532264573","182372.22105","182313.867824","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","white","768","yes","NA","psycho","psycho","10","NA","NA","[('yes', 'yes'), ('yes', 'no'), ('no', 'yes')]","NA","0","None","yes","None","NA","0","NA","z","NA","NA","NA","NA","NA","NA","z","slash","space","space","z","963.951004947","NA","NA","NA","NA","NA","NA","34785.2073378","104831.482214","4218.68896745","5105.22314987","963.951004947","182430.558353","182430.553604","NA","legacy","NA","125.008066667","NA","experiment","None","NA","2","even","legacy","45","3","50.0049587317","182488.880849","182438.875891","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","180105.490782","4042.19391012","NA","183413.904002","NA","16833.6067852","51643.3580246","156488.126564","160721.574949","NA","182489.112722","NA","NA","171088.553433","NA","NA","NA","NA","0035F Rotating cross (IOR)","11","no","no","yes","1024","NA","NA"
"no","NA","NA","60","60","NA","yes","1423.32888677","1423.32888677","gray","1","psycho","NA","NA","0","relative","0","0","z","0","4","0","0","NA","0","0","0","0","0","NA","4","0","0","4","0","0","0","0","0","0","4","4","0","4","0","0","4","45","1","58.3311566152","186730.676944","186672.345787","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","white","768","yes","NA","psycho","psycho","10","NA","NA","[('yes', 'yes'), ('yes', 'no'), ('no', 'yes')]","NA","0","None","yes","None","NA","0","NA","slash","NA","NA","NA","NA","NA","NA","z","slash","space","space","slash","893.473891234","NA","NA","NA","NA","NA","NA","34785.2073378","104831.482214","4218.68896745","5105.22314987","893.473891234","186789.011173","186789.006424","NA","legacy","NA","124.994936508","NA","experiment","None","NA","2","even","legacy","45","1","50.0069142872","186847.347638","186797.340723","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","184105.612864","4042.19391012","NA","183413.904002","NA","16833.6067852","51643.3580246","156488.126564","160721.574949","NA","186847.582584","NA","NA","187697.378019","NA","NA","NA","NA","0035F Rotating cross (IOR)","11","no","no","yes","1024","NA","NA"
"no","NA","NA","66.6666666667","66.6666666667","NA","yes","1451.28058641","1451.28058641","gray","1","psycho","NA","NA","0","relative","1","1","z","0","5","0","0","NA","0","0","0","0","0","NA","5","0","0","5","0","0","0","0","0","0","5","5","0","5","0","0","5","45","1","58.2870169255","190689.132557","190630.84554","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","white","768","yes","NA","psycho","psycho","10","NA","NA","[('yes', 'yes'), ('yes', 'no'), ('no', 'yes')]","NA","0","None","yes","None","NA","0","NA","z","NA","NA","NA","NA","NA","NA","z","slash","space","space","z","1591.03908457","NA","NA","NA","NA","NA","NA","34785.2073378","104831.482214","4218.68896745","5105.22314987","1591.03908457","190747.463435","190747.458685","NA","legacy","NA","124.948841265","NA","experiment","None","NA","2","even","legacy","45","1","49.9932253952","190805.787607","190755.794382","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","188847.420273","4042.19391012","NA","192355.841036","NA","16833.6067852","51643.3580246","156488.126564","160721.574949","NA","190806.025067","NA","NA","187697.378019","NA","NA","NA","NA","0035F Rotating cross (IOR)","11","no","no","yes","1024","NA","NA"
"no","NA","NA","71.4285714286","71.4285714286","NA","yes","1365.5124963","1365.5124963","gray","1","psycho","NA","NA","0","relative","1","1","slash","0","6","0","0","NA","0","0","0","0","0","NA","6","0","0","6","0","0","0","0","0","0","6","6","0","6","0","0","6","45","1","58.3507121719","195189.266234","195130.915521","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","white","768","yes","NA","psycho","psycho","10","NA","NA","[('yes', 'yes'), ('yes', 'no'), ('no', 'yes')]","NA","0","None","yes","None","NA","0","NA","slash","NA","NA","NA","NA","NA","NA","z","slash","space","space","slash","850.90395567","NA","NA","NA","NA","NA","NA","34785.2073378","104831.482214","4218.68896745","5105.22314987","850.90395567","195247.599346","195247.594597","NA","legacy","NA","125.011698414","NA","experiment","None","NA","2","even","legacy","45","0","50.0004888891","195305.927709","195255.92722","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","193022.550073","4042.19391012","NA","196114.28771","NA","16833.6067852","51643.3580246","156488.126564","160721.574949","NA","195306.168521","NA","NA","187697.378019","NA","NA","NA","NA","0035F Rotating cross (IOR)","11","no","no","yes","1024","NA","NA"
"no","NA","NA","75","75","NA","yes","1283.92442336","1283.92442336","gray","1","psycho","NA","NA","0","relative","1","1","slash","0","7","0","0","NA","0","0","0","0","0","NA","7","0","0","7","0","0","0","0","0","0","7","7","0","7","0","0","7","45","1","58.3261280426","198839.357795","198781.031667","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","white","768","yes","NA","psycho","psycho","10","NA","NA","[('yes', 'yes'), ('yes', 'no'), ('no', 'yes')]","NA","0","None","yes","None","NA","0","NA","slash","NA","NA","NA","NA","NA","NA","z","slash","space","space","slash","712.807912738","NA","NA","NA","NA","NA","NA","34785.2073378","104831.482214","4218.68896745","5105.22314987","712.807912738","198897.707949","198897.7032","NA","legacy","NA","125.004155556","NA","experiment","None","NA","2","even","legacy","45","1","49.9985333336","198956.034356","198906.035823","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","196764.329265","4042.19391012","NA","199622.713781","NA","16833.6067852","51643.3580246","156488.126564","160721.574949","NA","198956.268185","NA","NA","187697.378019","NA","NA","NA","NA","0035F Rotating cross (IOR)","11","no","no","yes","1024","NA","NA"
"no","NA","NA","77.7777777778","77.7777777778","NA","yes","1220.93419384","1220.93419384","gray","1","psycho","NA","NA","0","relative","1","1","z","0","8","0","0","NA","0","0","0","0","0","NA","8","0","0","8","0","0","0","0","0","0","8","8","0","8","0","0","8","45","1","58.3428899481","202531.144321","202472.801431","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","white","768","yes","NA","psycho","psycho","10","NA","NA","[('yes', 'yes'), ('yes', 'no'), ('no', 'yes')]","NA","0","None","yes","None","NA","0","NA","z","NA","NA","NA","NA","NA","NA","z","slash","space","space","z","717.012357716","NA","NA","NA","NA","NA","NA","34785.2073378","104831.482214","4218.68896745","5105.22314987","717.012357716","202589.474919","202589.470449","NA","legacy","NA","125.013374605","NA","experiment","None","NA","2","even","legacy","45","3","49.9831682518","202647.797974","202597.814806","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","200322.742974","4042.19391012","NA","203322.818682","NA","16833.6067852","51643.3580246","156488.126564","160721.574949","NA","202648.038787","NA","NA","187697.378019","NA","NA","NA","NA","0035F Rotating cross (IOR)","11","no","no","yes","1024","NA","NA"
"no","NA","NA","80","80","NA","yes","1212.23177806","1212.23177806","gray","1","psycho","NA","NA","0","relative","1","1","z","0","9","0","0","NA","0","0","0","0","0","NA","9","0","0","9","0","0","0","0","0","0","9","9","0","9","0","0","9","45","1","58.3515502676","206106.267696","206047.916146","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","white","768","yes","NA","psycho","psycho","10","NA","NA","[('yes', 'yes'), ('yes', 'no'), ('no', 'yes')]","NA","0","None","yes","None","NA","0","NA","z","NA","NA","NA","NA","NA","NA","z","slash","space","space","z","1133.91003605","NA","NA","NA","NA","NA","NA","34785.2073378","104831.482214","4218.68896745","5105.22314987","1133.91003605","206164.590472","206164.585722","NA","legacy","NA","124.998847619","NA","experiment","None","NA","2","even","legacy","45","2","50.0013269848","206222.91632","206172.914993","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","204006.205537","4042.19391012","NA","207314.620434","NA","16833.6067852","51643.3580246","156488.126564","160721.574949","NA","206223.15406","NA","NA","187697.378019","NA","NA","NA","NA","0035F Rotating cross (IOR)","11","no","no","yes","1024","NA","NA"
